postcode,lat,long
M16 7YZ,53.457321,-2.262773
M16 7ZF,53.461359,-2.26203
M16 7ZY,53.457321,-2.262773
M16 8AG,53.457321,-2.262773
M16 8BF,53.45506,-2.265003
M16 8BG,53.457321,-2.262773
M16 8BS,53.457321,-2.262773
M16 8ED,53.457321,-2.262773
M16 8FG,53.457321,-2.262773
M16 8FP,53.457321,-2.262773
M16 8JB,53.457321,-2.262773
M16 8LG,53.457321,-2.262773
M16 8LJ,53.457321,-2.262773
M16 8PD,53.457321,-2.262773
M16 8PY,53.457321,-2.262773
M16 8PZ,53.457321,-2.262773
M16 8RL,53.457321,-2.262773
M16 8RN,53.457321,-2.262773
M16 8RR,53.457321,-2.262773
M16 8SD,53.457321,-2.262773
M16 8SE,53.457321,-2.262773
M16 8SU,53.457321,-2.262773
M16 8UA,53.457321,-2.262773
M16 8UB,53.457321,-2.262773
M16 8UJ,53.457321,-2.262773
M16 8UP,53.457321,-2.262773
M16 8UQ,53.457321,-2.262773
M16 8UR,53.457321,-2.262773
M16 8US,53.457321,-2.262773
M16 8UT,53.457321,-2.262773
M16 8UU,53.457321,-2.262773
M16 8UW,53.457321,-2.262773
M16 8UX,53.457321,-2.262773
M16 8UY,53.457321,-2.262773
M16 8UZ,53.457321,-2.262773
M16 8WL,53.457321,-2.262773
M16 8WN,53.457321,-2.262773
M16 8WT,53.457321,-2.262773
M16 8WZ,53.457321,-2.262773
M16 8XA,53.457321,-2.262773
M16 8XB,53.457321,-2.262773
M16 8XD,53.457321,-2.262773
M16 8XE,53.457321,-2.262773
M16 8XF,53.457321,-2.262773
M16 8XG,53.457321,-2.262773
M16 8XH,53.457321,-2.262773
M16 8XJ,53.457321,-2.262773
M16 8XL,53.457321,-2.262773
M16 8XN,53.457321,-2.262773
M16 8XP,53.457321,-2.262773
M16 8XQ,53.457321,-2.262773
M16 8XR,53.457321,-2.262773
M16 8XS,53.457321,-2.262773
M16 8XT,53.457321,-2.262773
M16 8XU,53.457321,-2.262773
